"NETCD","STATCD","PARAMCD","PTID","DAYDT","HOURAV","VFLAGCD","FREQ_IN","PARAMDSB"
1,33,4,7,"2018-10-11 01:59:00.000",6.04318714141846,1,"1h","NO2"
1,4,4,4,"2018-10-11 01:59:00.000",14.9210348129272,9,"1h","NO2"
1,5,25,8,"2018-10-11 01:59:00.000",34.6764297485352,9,"1h","PM10"
1,8,4,4,"2018-10-11 01:59:00.000",11.9064216613769,1,"1h","NO2"
1,18,25,16,"2018-10-11 01:59:00.000",22.4664096832275,9,"1h","PM10"
28,2,25,19,"2018-10-11 01:59:00.000",24.8477401733398,9,"1h","PM10"
28,2,7,25,"2018-10-11 01:59:00.000",70.1722106933594,9,"1h","O3"
28,11,4,14,"2018-10-11 01:59:00.000",15.9127130508423,9,"1h","NO2"
28,12,7,6,"2018-10-11 01:59:00.000",40.310791015625,9,"1h","O3"
28,13,25,5,"2018-10-11 01:59:00.000",40.3699913024902,9,"1h","PM10"
3,2,4,4,"2018-10-11 01:59:00.000",3.35527324676514,9,"1h","NO2"
3,2,25,17,"2018-10-11 01:59:00.000",22.5656108856201,9,"1h","PM10"
3,6,4,4,"2018-10-11 01:59:00.000",2.05745530128479,9,"1h","NO2"
3,7,4,4,"2018-10-11 01:59:00.000",3.4239022731781,10,"1h","NO2"
3,7,7,5,"2018-10-11 01:59:00.000",93.2570953369141,9,"1h","O3"
3,8,4,4,"2018-10-11 01:59:00.000",39.7788543701172,2,"1h","NO2"
3,10,4,4,"2018-10-11 01:59:00.000",16.9217414855957,2,"1h","NO2"
3,10,7,5,"2018-10-11 01:59:00.000",88.9026260375977,10,"1h","O3"
2,6,4,4,"2018-10-11 02:59:00.000",4.08079099655151,9,"1h","NO2"
2,6,25,6,"2018-10-11 02:59:00.000",27.8388195037842,9,"1h","PM10"
2,6,7,26,"2018-10-11 02:59:00.000",92.3523788452148,9,"1h","O3"
2,12,25,11,"2018-10-11 02:59:00.000",30.2747097015381,9,"1h","PM10"
2,20,4,4,"2018-10-11 02:59:00.000",4.29137659072876,9,"1h","NO2"
2,22,4,3,"2018-10-11 02:59:00.000",4.07202863693237,9,"1h","NO2"
2,23,7,1,"2018-10-11 02:59:00.000",95.2343368530273,9,"1h","O3"
2,23,25,2,"2018-10-11 02:59:00.000",19.8773708343506,9,"1h","PM10"
2,24,4,5,"2018-10-11 02:59:00.000",7.69518995285034,1,"1h","NO2"
2,20,25,5,"2018-10-11 02:59:00.000",22.4200000762939,9,"1h","PM10"
2,21,4,4,"2018-10-11 02:59:00.000",2.81303000450134,9,"1h","NO2"
2,22,25,9,"2018-10-11 02:59:00.000",27.4828605651856,9,"1h","PM10"
2,25,4,5,"2018-10-11 02:59:00.000",3.6294960975647,1,"1h","NO2"
1,36,4,4,"2018-10-11 02:59:00.000",9.26156139373779,1,"1h","NO2"
1,31,7,3,"2018-10-11 02:59:00.000",57.4682083129883,9,"1h","O3"
1,31,4,7,"2018-10-11 02:59:00.000",6.50692224502563,9,"1h","NO2"
1,32,25,2,"2018-10-11 02:59:00.000",35.9099998474121,9,"1h","PM10"
1,33,25,2,"2018-10-11 02:59:00.000",36.6121406555176,9,"1h","PM10"
1,4,7,6,"2018-10-11 02:59:00.000",48.835865020752,9,"1h","O3"
1,5,7,6,"2018-10-11 02:59:00.000",52.2016868591309,9,"1h","O3"
1,8,25,6,"2018-10-11 02:59:00.000",28.5300006866455,9,"1h","PM10"
1,18,4,4,"2018-10-11 02:59:00.000",4.93402099609375,9,"1h","NO2"
1,18,7,5,"2018-10-11 02:59:00.000",81.8157043457031,9,"1h","O3"
1,12,7,5,"2018-10-11 02:59:00.000",89.483757019043,9,"1h","O3"
1,13,7,5,"2018-10-11 02:59:00.000",28.3118629455566,1,"1h","O3"
1,13,25,6,"2018-10-11 02:59:00.000",24.4319496154785,9,"1h","PM10"
1,15,4,4,"2018-10-11 02:59:00.000",21.7489986419678,9,"1h","NO2"
1,36,7,5,"2018-10-11 02:59:00.000",12.9507293701172,9,"1h","O3"
28,1,4,4,"2018-10-11 02:59:00.000",5.61171960830688,9,"1h","NO2"
28,2,4,4,"2018-10-11 02:59:00.000",4.28925275802612,9,"1h","NO2"
28,7,7,12,"2018-10-11 02:59:00.000",58.2707595825195,9,"1h","O3"
28,11,25,1,"2018-10-11 02:59:00.000",37.1547203063965,9,"1h","PM10"
28,12,4,4,"2018-10-11 02:59:00.000",0.960514187812805,9,"1h","NO2"
28,13,4,3,"2018-10-11 02:59:00.000",6.72052335739136,9,"1h","NO2"
28,13,7,4,"2018-10-11 02:59:00.000",41.9924354553223,9,"1h","O3"
3,3,7,5,"2018-10-11 02:59:00.000",96.7064514160156,9,"1h","O3"
3,5,4,3,"2018-10-11 02:59:00.000",12.7822351455688,9,"1h","NO2"
3,6,7,5,"2018-10-11 02:59:00.000",71.5853881835938,2,"1h","O3"
3,8,7,5,"2018-10-11 02:59:00.000",55.3278350830078,9,"1h","O3"
3,9,4,4,"2018-10-11 02:59:00.000",9.79459953308105,10,"1h","NO2"
3,9,7,5,"2018-10-11 02:59:00.000",44.9083671569824,9,"1h","O3"
1,31,25,2,"2018-10-11 02:59:00.000",47.6541404724121,9,"1h","PM10"
1,32,7,3,"2018-10-11 02:59:00.000",55.716438293457,9,"1h","O3"
1,32,4,7,"2018-10-11 02:59:00.000",10.6695222854614,9,"1h","NO2"
1,33,7,3,"2018-10-11 02:59:00.000",45.2301025390625,9,"1h","O3"
1,33,4,7,"2018-10-11 02:59:00.000",8.20702075958252,9,"1h","NO2"
1,4,4,4,"2018-10-11 02:59:00.000",8.27922534942627,9,"1h","NO2"
1,5,25,8,"2018-10-11 02:59:00.000",24.1758098602295,9,"1h","PM10"
1,8,4,4,"2018-10-11 02:59:00.000",7.60258960723877,9,"1h","NO2"
1,18,25,16,"2018-10-11 02:59:00.000",23.931619644165,9,"1h","PM10"
28,2,25,19,"2018-10-11 02:59:00.000",24.3605308532715,9,"1h","PM10"
28,2,7,25,"2018-10-11 02:59:00.000",62.6021423339844,9,"1h","O3"
28,11,4,14,"2018-10-11 02:59:00.000",13.8918867111206,9,"1h","NO2"
28,12,7,6,"2018-10-11 02:59:00.000",40.4822196960449,9,"1h","O3"
28,13,25,5,"2018-10-11 02:59:00.000",39.4300003051758,9,"1h","PM10"
3,2,4,4,"2018-10-11 02:59:00.000",4.26445198059082,9,"1h","NO2"
3,2,25,17,"2018-10-11 02:59:00.000",25.9995098114014,9,"1h","PM10"
3,6,4,4,"2018-10-11 02:59:00.000",2.25779485702515,9,"1h","NO2"
3,7,4,4,"2018-10-11 02:59:00.000",27.1420230865479,2,"1h","NO2"
3,7,7,5,"2018-10-11 02:59:00.000",89.0144500732422,9,"1h","O3"
3,8,4,4,"2018-10-11 02:59:00.000",17.932409286499,10,"1h","NO2"
3,10,4,4,"2018-10-11 02:59:00.000",5.39959716796875,9,"1h","NO2"
3,10,7,5,"2018-10-11 02:59:00.000",84.8395080566406,2,"1h","O3"
2,6,4,4,"2018-10-11 03:59:00.000",5.11964559555054,9,"1h","NO2"
2,6,25,6,"2018-10-11 03:59:00.000",15.628809928894,9,"1h","PM10"
2,6,7,26,"2018-10-11 03:59:00.000",89.4267120361328,9,"1h","O3"
2,12,25,11,"2018-10-11 03:59:00.000",44.9120903015137,9,"1h","PM10"
2,20,4,4,"2018-10-11 03:59:00.000",6.31570863723755,9,"1h","NO2"
2,22,4,3,"2018-10-11 03:59:00.000",4.17692232131958,9,"1h","NO2"
2,23,7,1,"2018-10-11 03:59:00.000",91.1532669067383,1,"1h","O3"
2,23,25,2,"2018-10-11 03:59:00.000",21.9985198974609,9,"1h","PM10"
2,24,4,5,"2018-10-11 03:59:00.000",5.02463817596435,9,"1h","NO2"
2,20,25,5,"2018-10-11 03:59:00.000",17.1299896240234,9,"1h","PM10"
2,21,4,4,"2018-10-11 03:59:00.000",3.92145824432373,9,"1h","NO2"
2,22,25,9,"2018-10-11 03:59:00.000",22.0705108642578,9,"1h","PM10"
2,25,4,5,"2018-10-11 03:59:00.000",4.18933296203613,9,"1h","NO2"
1,36,4,4,"2018-10-11 03:59:00.000",9.78067684173584,9,"1h","NO2"
1,31,7,3,"2018-10-11 03:59:00.000",59.2085494995117,9,"1h","O3"
1,31,4,7,"2018-10-11 03:59:00.000",5.6846399307251,9,"1h","NO2"
1,32,25,2,"2018-10-11 03:59:00.000",27.7900009155273,9,"1h","PM10"
1,33,25,2,"2018-10-11 03:59:00.000",29.2897205352783,9,"1h","PM10"
1,4,7,6,"2018-10-11 03:59:00.000",42.9713439941406,9,"1h","O3"
1,5,7,6,"2018-10-11 03:59:00.000",52.9138259887695,9,"1h","O3"
1,8,25,6,"2018-10-11 03:59:00.000",20.3199996948242,9,"1h","PM10"
1,18,4,4,"2018-10-11 03:59:00.000",6.80778074264526,9,"1h","NO2"
1,18,7,5,"2018-10-11 03:59:00.000",74.3767318725586,9,"1h","O3"
1,12,7,5,"2018-10-11 03:59:00.000",90.4294815063477,9,"1h","O3"
1,13,7,5,"2018-10-11 03:59:00.000",30.2162704467773,9,"1h","O3"
1,13,25,6,"2018-10-11 03:59:00.000",20.034200668335,9,"1h","PM10"
1,15,4,4,"2018-10-11 03:59:00.000",34.51953125,9,"1h","NO2"
1,36,7,5,"2018-10-11 03:59:00.000",9.71398830413818,9,"1h","O3"
28,1,4,4,"2018-10-11 03:59:00.000",6.75493717193604,9,"1h","NO2"
28,2,4,4,"2018-10-11 03:59:00.000",6.05360412597656,9,"1h","NO2"
28,7,7,12,"2018-10-11 03:59:00.000",52.5031318664551,9,"1h","O3"
28,11,25,1,"2018-10-11 03:59:00.000",23.955020904541,9,"1h","PM10"
28,12,4,4,"2018-10-11 03:59:00.000",0.829064190387726,9,"1h","NO2"
28,13,4,3,"2018-10-11 03:59:00.000",6.91154336929321,9,"1h","NO2"
28,13,7,4,"2018-10-11 03:59:00.000",41.1730079650879,9,"1h","O3"
3,3,7,5,"2018-10-11 03:59:00.000",92.4822006225586,9,"1h","O3"
3,5,4,3,"2018-10-11 03:59:00.000",10.1118602752685,9,"1h","NO2"
3,6,7,5,"2018-10-11 03:59:00.000",55.8280601501465,9,"1h","O3"
3,8,7,5,"2018-10-11 03:59:00.000",37.221076965332,9,"1h","O3"
3,9,4,4,"2018-10-11 03:59:00.000",8.38796138763428,10,"1h","NO2"
3,9,7,5,"2018-10-11 03:59:00.000",51.2377471923828,9,"1h","O3"
1,31,25,2,"2018-10-11 03:59:00.000",34.3895797729492,9,"1h","PM10"
1,32,7,3,"2018-10-11 03:59:00.000",56.541072845459,9,"1h","O3"
1,32,4,7,"2018-10-11 03:59:00.000",12.0870037078857,9,"1h","NO2"
1,33,7,3,"2018-10-11 03:59:00.000",44.9135971069336,9,"1h","O3"
1,33,4,7,"2018-10-11 03:59:00.000",9.08810234069824,9,"1h","NO2"
1,4,4,4,"2018-10-11 03:59:00.000",12.7251567840576,9,"1h","NO2"
1,5,25,8,"2018-10-11 03:59:00.000",31.0134296417236,9,"1h","PM10"
1,8,4,4,"2018-10-11 03:59:00.000",6.44237661361694,9,"1h","NO2"
1,18,25,16,"2018-10-11 03:59:00.000",23.931619644165,9,"1h","PM10"
28,2,25,19,"2018-10-11 03:59:00.000",27.7709999084473,9,"1h","PM10"
28,2,7,25,"2018-10-11 03:59:00.000",55.7187957763672,9,"1h","O3"
28,11,4,14,"2018-10-11 03:59:00.000",5.78023195266724,9,"1h","NO2"
28,12,7,6,"2018-10-11 03:59:00.000",39.5629463195801,9,"1h","O3"
28,13,25,5,"2018-10-11 03:59:00.000",31.9099998474121,9,"1h","PM10"
3,2,4,4,"2018-10-11 03:59:00.000",9.28763580322266,9,"1h","NO2"
3,2,25,17,"2018-10-11 03:59:00.000",19.6222705841064,9,"1h","PM10"
3,6,4,4,"2018-10-11 03:59:00.000",5.68477773666382,9,"1h","NO2"
3,7,4,4,"2018-10-11 03:59:00.000",6.52710103988647,10,"1h","NO2"
3,7,7,5,"2018-10-11 03:59:00.000",84.939338684082,2,"1h","O3"
3,8,4,4,"2018-10-11 03:59:00.000",22.1223754882812,10,"1h","NO2"
3,10,4,4,"2018-10-11 03:59:00.000",4.18760299682617,9,"1h","NO2"
3,10,7,5,"2018-10-11 03:59:00.000",84.7123718261719,10,"1h","O3"
2,6,4,4,"2018-10-11 04:59:00.000",6.94914817810059,9,"1h","NO2"
2,6,25,6,"2018-10-11 04:59:00.000",26.8620204925537,9,"1h","PM10"
2,6,7,26,"2018-10-11 04:59:00.000",85.7015533447266,9,"1h","O3"
2,12,25,11,"2018-10-11 04:59:00.000",34.3406600952148,9,"1h","PM10"
2,20,4,4,"2018-10-11 04:59:00.000",10.6902046203613,9,"1h","NO2"
2,22,4,3,"2018-10-11 04:59:00.000",15.2890567779541,9,"1h","NO2"
2,23,7,1,"2018-10-11 04:59:00.000",93.4302215576172,9,"1h","O3"
2,23,25,2,"2018-10-11 04:59:00.000",25.3678398132324,9,"1h","PM10"
2,24,4,5,"2018-10-11 04:59:00.000",7.63445711135864,9,"1h","NO2"
2,20,25,5,"2018-10-11 04:59:00.000",33.2099914550781,9,"1h","PM10"
2,21,4,4,"2018-10-11 04:59:00.000",22.2923126220703,9,"1h","NO2"
2,22,25,9,"2018-10-11 04:59:00.000",13.8308601379394,9,"1h","PM10"
2,25,4,5,"2018-10-11 04:59:00.000",6.6651782989502,9,"1h","NO2"
1,36,4,4,"2018-10-11 04:59:00.000",12.6368837356567,9,"1h","NO2"
1,31,7,3,"2018-10-11 04:59:00.000",58.9182586669922,9,"1h","O3"
1,31,4,7,"2018-10-11 04:59:00.000",8.90762233734131,9,"1h","NO2"
1,32,25,2,"2018-10-11 04:59:00.000",26.6800003051758,9,"1h","PM10"
1,33,25,2,"2018-10-11 04:59:00.000",36.1239814758301,9,"1h","PM10"
